sample.name,Species,Island,Phenotype,cohort,WGS.bioproject
01Dap4677,fortis,Daphne,pink,1981,PRJNA678752
03Dap4701,scandens,Daphne,yellow,1981,PRJNA678752
03Dap4706,scandens,Daphne,pink,1981,PRJNA678752
01Dap4843,fortis,Daphne,yellow,1981,PRJNA678752
01Dap5060,fortis,Daphne,yellow,1981,PRJNA678752
03Dap5322,scandens,Daphne,yellow,1983,PRJNA678752
03Dap5367,scandens,Daphne,yellow,1983,PRJNA678752
01Dap5400,fortis,Daphne,pink,1983,PRJNA678752
01Dap5504,fortis,Daphne,pink,1983,PRJNA678752
01Dap5625,fortis,Daphne,pink,1983,PRJNA678752
01Dap10023,fortis,Daphne,pink,1983,PRJNA678752
03Dap10207,scandens,Daphne,yellow,1983,PRJNA678752
03Dap10223,scandens,Daphne,pink,1983,PRJNA678752
03Dap10245,scandens,Daphne,yellow,1983,PRJNA678752
03Dap10268,scandens,Daphne,pink,1983,PRJNA678752
01Dap10548,fortis,Daphne,yellow,1983,PRJNA678752
01Dap13351,fortis,Daphne,yellow,1983,PRJNA678752
01Dap13365,fortis,Daphne,pink,1983,PRJNA678752
03Dap13548,scandens,Daphne,pink,1984,PRJNA678752
01Dap13575,fortis,Daphne,pink,1984,PRJNA678752
01Dap13781,fortis,Daphne,pink,1984,PRJNA678752
01Dap13996,fortis,Daphne,pink,1984,PRJNA678752
01Dap14030,fortis,Daphne,yellow,1984,PRJNA678752
01Dap14042,fortis,Daphne,yellow,1984,PRJNA678752
01Dap14062,fortis,Daphne,pink,1984,PRJNA678752
01Dap14403,fortis,Daphne,yellow,1984,PRJNA678752
01Dap14478,fortis,Daphne,pink,1984,PRJNA678752
01Dap14492,fortis,Daphne,pink,1984,PRJNA678752
03Dap14576,scandens,Daphne,pink,1987,PRJNA678752
01Dap14617,fortis,Daphne,pink,1987,PRJNA678752
01Dap14620,fortis,Daphne,pink,1987,PRJNA678752
01Dap14629,fortis,Daphne,yellow,1987,PRJNA678752
03Dap14645,scandens,Daphne,pink,1987,PRJNA678752
03Dap14647,scandens,Daphne,pink,1987,PRJNA678752
03Dap14648,scandens,Daphne,pink,1987,PRJNA678752
01Dap14651,fortis,Daphne,pink,1987,PRJNA678752
01Dap14652,fortis,Daphne,pink,1987,PRJNA678752
01Dap14677,fortis,Daphne,pink,1987,PRJNA678752
01Dap14684,fortis,Daphne,yellow,1987,PRJNA678752
01Dap14689,fortis,Daphne,yellow,1987,PRJNA678752
01Dap14692,fortis,Daphne,yellow,1987,PRJNA678752
03Dap14730,scandens,Daphne,yellow,1987,PRJNA678752
03Dap14731,scandens,Daphne,pink,1987,PRJNA678752
01Dap14732,fortis,Daphne,yellow,1987,PRJNA678752
